file,num_tasks,total_runtime_seconds,total_spacetime_megabyteseconds,minimum_peak_memory_mb,minimum_average_peak_mb,maximum_peak_memory_mb,maximum_average_peak_mb,memory_heterogeneity,cpu_to_mem_ratio_4GB
Cybershake.n.1000.0.dax,1000,353335.61,2.2787858963345642E11,76139.289292,93163.71940599999,1024000.0,869085.910988,0.6298195791500392,0.006202173017980174
Cybershake.n.1000.1.dax,1000,348242.90000000026,1.6713629179032504E11,23672.657123999998,27695.355532999998,1024000.0,950862.474392,0.46869307300016555,0.008334345491806797
Genome.n.997.0.dax,997,2.7123946739999987E7,1.1122837144816068E13,92786.666681,101704.465,795210.258035,795210.258035,0.5156805149850926,0.009754326665707384
Genome.n.997.1.dax,997,1.8197529740000002E7,1.5585819193731602E13,108051.413567,110754.365343,1024000.0,938215.439915,0.8364061921504802,0.0046702786716065064
Ligo.n.1000.0.dax,1000,3443155.0100000035,2.6888402849852397E12,191171.529383,246607.75223399999,966088.599373,834923.740232,0.8083351683988099,0.00512214136217303
Ligo.n.1000.1.dax,1000,3232638.370000005,6.998709255163768E11,162970.26915399998,177827.851634,1024000.0,935589.082476,0.21142720665645837,0.018475626016982535
Montage.n.1000.0.dax,1000,113543.72000000002,4.946438235718096E10,65976.777397,65976.777397,993682.5896259999,993682.5896259999,0.4384113521851072,0.009181856890892027
Montage.n.1000.1.dax,1000,114469.05999999997,3.674700488883627E10,148727.527533,148727.527533,955424.299641,955424.299641,0.3359986620329592,0.01246023291925766
Sipht.n.968.0.dax,968,1921805.3148000005,5.424419523569008E11,101201.479731,118817.39791,1024000.0,955265.690382,0.2756410678121492,0.01417150945976645
Sipht.n.968.1.dax,968,1814693.0,1.336423444184637E12,129644.313272,146253.915809,1024000.0,937539.530892,0.7191855700724915,0.005431491067884279
